,Hasil-Stemming,sentiment,sentiment_score
51,You the presidential candidate stay at the house of the people of Cilincing guaranteeing that you will catch a cold aware that your grandmother has less energy,negatif,-0.1722222222222222
52,hard work happy candidate failed to get free food,postif,0.10208333333333333
53,let's make a contribution,netral,0.0
54,The moment of nature playing ball with the children on the beach is really fun,postif,0.3
55,Mas Alam exclaimed on his bicycle around Surabaya,netral,0.0
56,May justice neutrality be the basis of confused political ambitions,negatif,-0.2
57,The warm cheerful accompaniment of the road clears the graves of forgotten moments,postif,0.5
58,I'm disappointed with Jokowi's attitude towards the end of the presidential election,negatif,-0.75
59,God willing,postif,0.25
60,Fully support the youth of Ganjar Mahfud President Vice President,netral,0.0
61,It's worth the effort of ordinary people to imitate it it's worth it it's worth it to dance like that,postif,0.16249999999999998
62,resigns wir state candidate siti atikoh,netral,0.0
63,God willing Casanova agoest FB,postif,0.25
64,promise commitment to free quota for schools to elect president,postif,0.6000000000000001
65,God willing I will,postif,0.25
66,The event at G Ngawi was quiet wow,postif,0.05
67,intimidation,netral,0.0
68,alms wokowkaka,netral,0.0
69,fertilizer subsidies for less food estate projects,negatif,-0.16666666666666666
70,God willing Abuya Muhtadi's prayer for Mahfud's ganjar will be accepted by Allah SWT.,postif,0.25
71,Ganjar Pranowo Mahfud MD upholds the law against corruption,netral,0.0
72,the vanguard of advancing santri Islamic boarding schools,netral,0.0
73,polling metro television dominance buzzer ndasmu etik cekot ndasse,netral,0.0
74,Excited students ganjar Islamic boarding school Kyai anxiously responds to Mas Gangar Turangga Haryanto,postif,0.0625
75,Mrs. Atikoh cares about teaching turangga haryanto students,netral,0.0
76,The school ganjars prosperity for the students of the teaching Islamic boarding school Turangga Haryanto,netral,0.0
77,ganjar Mahfud Indonesia's victorious vision and mission,netral,0.0
78,found a penguin vase teasing the moderator,netral,0.0
79,Ganjar Pranowo leads to take Indonesia forward,netral,0.0
80,Is there a ganjar for Mahfud choosing the sat set?,netral,0.0
81,mbulet your lord,netral,0.0
82,wow look cheating hahaha,postif,0.15000000000000002
83,God willing top gun,postif,0.375
84,cool cool cool gas pooll hesitate to debate this time,postif,0.3499999999999999
85,great Arab top gun God willing,postif,0.5166666666666667
86,The saddest moon Bengueron Mobi Nicola Tak Rubin Jim and Jasbal Insila,netral,0.0
87,let's melt down the arrogant arrogant attitude of the narrative turn the narrative of acclamation cuihhhhh gasssspollllllllll,negatif,-0.15555555555555559
88,socialization of presidential candidates in Emakemak Surabaya Genteng Gubeng Bubut sub-district head,netral,0.0
89,steady ganjar for solutions to Indonesia's problems,postif,0.16666666666666666
90,ganjar Mahfud's intelligent fair quick action of the people,postif,0.48333333333333334
91,I think Mahfud has been ganjared for winning a set,postif,0.5
92,dela krova village head late afternoon sir thank you for that,negatif,-0.3
93,Mandom God willing,postif,0.25
94,Educate the children of Bhayangkara warriors Ganjar Mahfud great,postif,0.8
95,I totally agree God willing Dela Riva is the head of the FB subdistrict,postif,0.125
96,Ordinary propaganda God willing istikamah tweets or mushrooms,negatif,-0.033333333333333326
97,Dangerous God willing,negatif,-0.175
98,God willing the archipelago,postif,0.25
99,The modernization of TNI weapons is a great ganjar for Mahfud,postif,0.8
100,coupling insyaallah coupling,netral,0.0
101,assalamualaikum wr wb morning enthusiasm happy activity may Allah swt bless your activity your illness will recover God willing God willing.,postif,0.43333333333333335
102,The majority of Indonesian people support Ganjar Mahfud to win,postif,0.8
103,choose the stronger one,netral,0.0
104,God willing participate,postif,0.25
105,good night God willing com arie ffb,postif,0.475
106,ganjar mahfud image results tara political integrity free active success win trust society way to win ganjar mahfud win oii,postif,0.4238095238095238
107,Breaking through Mahfud's ganjar guarantees that you need basic soldier steps a tough fair system and Mahfud's ganjar to win,postif,0.2777777777777778
108,prosperous hand soldiers ganjar mahfud strong foundation of country resilience let's win together positive change ganjar mahfud win danyus,postif,0.5651515151515152
109,Mahfud's upholding and fair system of ganjar is worthy of full support for Mahfud's ganjar to win,postif,0.5458333333333334
110,Where do you order bro I found seeds,netral,0.0
111,a healthy body strong soul two leaders a complete package that Indonesia needs to form a demographic bonus,postif,0.3444444444444445
112,thank you very much,postif,0.26
113,Rin is great,postif,0.8
114,aqeeda dawn former hatur nuhun language,netral,0.0
115,good night God willing rin ffb,postif,0.475
116,insyaallah but afifa baelah pjilat ffb,netral,0.0
117,Download the Fermi Dawn Doctrine,netral,0.0
118,God willing chotimah,postif,0.25
119,consistency ganjar mahfud take care of safe food worthy of appreciation support national food safe cheap ebb ganjar mahfud win,postif,0.5066666666666666
120,Safe food good price pockets real vision ganjar mahfud support fading national food safe cheap ganjar mahfud wins,postif,0.4333333333333333
121,ganjar mahfud duo brave positive wins safe cheap national food ganjar mahfud wins urflo,postif,0.4212121212121212
122,support Ganjar Mahfud,netral,0.0
123,Steady blunt ganjar according to my presidential candidate's cool natural data,postif,0.20555555555555552
124,Thief's strategy: Shouting thief wants to catch a thief,postif,0.2
125,state secret base,negatif,-0.6000000000000001
126,Hot atmosphere just choose a number,postif,0.25
127,Japanese voting rights abu ubaidah wadas slank buzzer it's true barca week,postif,0.175
128,Hope you win in February,postif,0.8
129,true milu prevents bad people from coming to power,negatif,-0.17499999999999993
130,Rombo Cendana's tweets are automatically entered,netral,0.0
131,response to retribution related to state-owned state-owned companies seeking state money for facilities,netral,0.0
132,surodiro joyoningrat melted by pangastuti,netral,0.0
133,efforts to stimulate agricultural regeneration to inspire the younger generation to choose the farming profession,netral,0.0
134,exclaimed Aldi Taher who had a great time celebrating the theme of the Indonesian father's democracy party Mahfud's ganjar,postif,0.8
135,penguins seliwerun jakarta run love ganjar fun full of enthusiasm Indonesia is strong Indonesia is superior,postif,0.45666666666666667
136,Indonesia needs energetic leadership strong stamina Sandiaga ganjars Sliwerun penguins residents are busy blocking,postif,0.3444444444444445
137,strategy please help MSMEs play an active role in building the economy,negatif,-0.13333333333333333
138,ganjar young people belonging to the creative economy sector,postif,0.3
139,the puja calf with a pointed nose surpasses the huge truck,postif,0.4000000000000001
140,let's add miltan to the t-shirt,netral,0.0
141,dhimas gass up,netral,0.0
142,mahfud sekarkinanthi bonjav market http,netral,0.0
143,bonjav mahfud sekarkinanthi market,netral,0.0
144,Bonjav Mahfud Sekarkinanthi Market,netral,0.0
145,social assistance from Jokowi's personal money social assistance from the people's taxes back to the people,postif,0.016666666666666666
146,suitable,postif,0.55
147,Mahfud Pasar Sekar Kinanthi Bon Java,netral,0.0
148,ogi can,netral,0.0
149,Ganjar Mahfud President Vice President install the people Atikoh cheerful friendly simple wearing a Hermes bag Louis Vuiton sandals the people need to be close to watch luxury,postif,0.25833333333333336
150,I'm the one who chooses instead of jkw once I choose jkw look good now choose look good the wa group jkw choose,postif,0.7
151,praise the results of the match the process of leading opinions choose to know empty win ok,postif,0.4000000000000001
152,God willing Sena Glenn Sauya Alamsyah FFB,postif,0.25
153,InshaAllah Abubakar Boy Jims Fob,netral,0.0
154,His inmate intends to throw it away,netral,0.0
155,The attitude of the people is patient listening responding to concerns the example of the leader of the Damba trust,netral,0.0
156,Atikoh's ganjar is really lasting,netral,0.0
157,It's really fast ma'am just paste it,postif,0.2
158,Nature ganjars young people with achievements full of talent that really deserves their fans,postif,0.21666666666666665
159,Bismillah President Ganjar Mahfud wins we will never lose our minds,postif,0.3
160,Prabowo presidential election predictions turn to support Anies ganjar one,netral,0.0
161,poll gas ganjars Pranowo president,netral,0.0
162,great poll ganjar Mahfud won we never got gray,postif,0.8
163,I hope that President Ganjar Mahfud's election will win we will never lose our minds,postif,0.8
164,The community needs us to never let Abu Ganjar Mahfud win,postif,0.8
165,invite exclamations don't make fun ganjar Mahfud win we will never be gray,postif,0.55
166,Indonesia continues to be good ganjar Mahfud is good,postif,0.7
167,The enthusiasm to hear the people's complaints about Mahfud's victory will never turn gray,netral,0.0
168,So excited to welcome Gangar to show how much support Gangar Mahfud won we never went gray,postif,0.4583333333333333
169,healthy President Ganjar Mahfud wins we will never be gray,postif,0.4
170,It's really delicious to eat because our tani tani never wins,postif,0.425
171,Ma'am Ma'am I'm really enthusiastic Sis Gangar there's no doubt that Gangar Gangar's heart is going crazy. Mahfud wins we'll never be gray.,postif,0.09999999999999999
172,I started meeting in line with one vote Mahfud won we never went gray,netral,0.0
173,social people listened to the complaints of Mahfud's mother we never won,postif,0.03333333333333333
174,The condition of the country requires concrete work to win the candidate wins the candidate loses the candidate loses,postif,0.12999999999999998
175,Ma'am fell today Mahfud's ganjar is a win we will never be gray,postif,0.8
176,Mahfud's ganjar wins every day people complain about our basic food prices never being gray,postif,0.15
177,Ganjar Mahfud believes in eradicating corruption and ensuring the full integrity of the community,postif,0.35
178,comb if it's good then it's good where the job is the job is upright the law is fair the moral attitude is good the power is applied the job is pleasing to the heart,postif,0.5599999999999999
179,Mahfud Milu's ganjar tagan supports Palestine strongly,postif,0.4333333333333333
180,build an inclusive campus life where religion supports HMI,netral,0.0
181,young people's spirit of patriotism creates a good fight against corruption,postif,0.39999999999999997
182,ganjar the creations of aesthetic functional instructors,netral,0.0
183,please criticize like,netral,0.0
184,young heart,postif,0.1
185,While the West Sumatra Regional Coordination Committee is canvassing the door the door goes directly to the people of Pauh Padang City Friday L,postif,0.1
186,Your presidential candidate is as cool as the chairman,postif,0.35
187,people need to lead the quality of work,netral,0.0
188,well turn it around,netral,0.0
189,ganjar support for Palestinian president,netral,0.0
190,ganjar the results of waking up when you walk in doubt,netral,0.0
191,keren,netral,0.0
192,Try here if you are a model you want to support whoever you want bro don't lie.,netral,0.0
193,tweet tweet let Samsul be so om wowo so turntable plate,netral,0.0
194,asked dime worthy of returning as a moderator God willing,postif,0.29166666666666663
195,broken promise,negatif,-0.4
196,ganjar accepted the speech of the teacher paud salary was immediately surprised by the fair promise of the teacher paud let's support ganjar defend the hero of merit,postif,0.39999999999999997
197,Sidoarjo afternoon broke,netral,0.0
198,insyaallah thonie sena ffb,netral,0.0
199,Bandung West Java cool manteeb,postif,0.35
200,happy happy happy,postif,0.8000000000000002
201,for the apk of shirts shirts calendars etc. the driver of the ganesha post office in West Java use the ganesa post office good work ganjar mahfud Indonesia,postif,0.7
202,gass ​​poll people choose people,netral,0.0
203,Ganjar Mahfud has a good solution for millions of low-yield houses Gant Mahfud has a solution,postif,0.7
204,Seulawah Kopi means Acehnese,netral,0.0
205,muba archipelago cent min nakula people,netral,0.0
206,come back successful men great women great ganjars evidence is present in the public eye try to check and install other paslonsweeeeeeeeehhh,postif,0.3178571428571429
207,superior program real evidence of Mahfud MD's commitment to the level of quality of life for the elderly,postif,0.44999999999999996
208,The great collaboration of Ganjar Mahfud MD gave birth to the revolutionary elderly program for happy living for seniors,postif,0.8
209,The elderly program by Ganjar Mahfud MD is designed with full dedication and prosperity,postif,0.35
210,Misi Ganjar Mahfud MD presents an innovative senior living program,postif,0.5
211,Ganjar Mahfud MD together designed an elderly program to create a happy old age,postif,0.45
212,Seniors pay special attention to the program for creating a life of dignity Mahfud MD,postif,0.35714285714285715
213,Strong collaboration ganjars Mahfud MD's commitment to creating a happy elderly program,postif,0.6166666666666667
214,Ganjar Mahfud MD's superior program presents the vision of the elderly,postif,0.7
215,enthusiastic collaboration ganjars Mahfud MD efforts to create an active healthy happy older generation elderly welfare program,postif,0.38666666666666666
216,Mahfud MD's commitment to develop an accommodation program specifically for the elderly with a sense of well-being for the elderly,netral,0.0
217,Ganjar Mahfud MD's initiation of the pro-elderly program is an example of a real effort to pay attention to the lives of the elderly,postif,0.2
218,elderly people hope for favors old people are comfortable happy collaborative efforts ganjar mahfud md,postif,0.43333333333333335
219,please ganjar Mahfud MD to design a program to support the physical and emotional well-being of the elderly,netral,0.0
220,Ganjar Mahfud MD quality of life for the elderly at advanced holistic program level,postif,0.4
221,The program to aim for happiness for the elderly is an integral part of social development,postif,0.36666666666666664
222,Ganjar Mahfud MD prepares a comprehensive plan to ensure the lives of the elderly in society,netral,0.0
223,Mahfud MD's ganjar program is determined to create an elderly-friendly environment to benefit the elderly,netral,0.0
224,elderly per day special report program Ganjar Mahfud MD focuses on aspects of life,postif,0.35714285714285715
225,Together with Ganjar Mahfud MD develop a strategy to create a social climate that supports the lives of happy active elderly people,postif,0.23333333333333336
226,The elderly welfare program is designed to ganjar Mahfud MD as a milestone in building a society that cares for the older generation,postif,0.16666666666666666
227,Efforts to improve the welfare of the elderly Mahfud MD created further steps,netral,0.0
228,Ganjar Mahfud MD initiated the pro-elderly program to live a decent life for the senior generation,postif,0.1515151515151515
229,The main focus of Mahfud MD's ganjar design program is hope for a happy meaningful life,postif,0.48888888888888893
230,Full of dedication Ganjar Mahfud MD designed an innovative program to help the elderly enjoy a comfortable life,postif,0.4125
231,The program initiated by Ganjar Mahfud MD aims for prosperous elderly people to enjoy old people full of joy,postif,0.4125
232,Solid collaboration ganjars Mahfud MD to create solutions for happy elderly people,postif,0.4
233,Ganjar Mahfud MD's vision creates a unique senior living program,postif,0.375
234,Ganjar Mahfud MD leads the implementation of the program with a strong commitment to open roads for the elderly in the country,postif,0.21666666666666665
235,society aware of the role of the elderly in building a life program,postif,0.25
236,Mahfud MD's ganjar program hopes to create a culture of respect for the elderly in society,netral,0.0
237,NGO private sector active cooperation applied program for maximum results,negatif,-0.06666666666666667
238,Mahfud MD Gangar has developed a method for strictly evaluating the effectiveness of the program,postif,0.1
239,Financial support for special facilities full program integration basic needs for the elderly,postif,0.17678571428571427
240,The program aimed at skilled training for the elderly had a relevant contribution,postif,0.45
241,press for healthy education for the elderly to take an active role in keeping them healthy,postif,0.2888888888888889
242,Involve local communities in programs aimed at creating regional elderly-friendly climates,netral,0.0
243,Ganjar Mahfud MD designs a psychosocial support mechanism for the elderly belonging to a caring supportive social environment,postif,0.26666666666666666
244,healthy management of the elderly. The main focus of the healthy service program is designed to suit the special needs of the elderly,postif,0.38095238095238093
245,an inclusive design program for seniors at the community level to feel the benefits,netral,0.0
246,The main aim of the program is to give seniors an optimal quality of life,postif,0.16666666666666666
247,further the program guarantees close holistic coverage of the physical mental social aspects of the lives of the elderly,negatif,-0.01666666666666667
248,Concrete steps to take in a daily program plan for seniors who need it,postif,0.07500000000000001
249,Ganjar Mahfud MD develops a program strategy that focuses on aspects of healthy safe and socially engaged elderly life,postif,0.3444444444444445
250,vision program level of quality of life for happy elderly elderly,postif,0.8
251,Ganjar Mahfud MD's strong determination designed a special program for the lives of the older generation,postif,0.319047619047619
252,elderly welfare program organized by ganjar mahfud md watch out for the Indonesian age group,netral,0.0
253,Ganjar Mahfud MD creates a strong foundation to achieve the life vision of the elderly. Design a progressive program,postif,0.4333333333333333
254,the elderly group forgot thanks to the special attention of Ganjar Mahfud MD's innovative program,postif,0.3523809523809524
255,elderly welfare program designs ganjar mahfud md comprehensive solution to address challenges facing this age group,netral,0.0
256,Caring creativity ganjars Mahfud MD for creating breakthroughs in the lives of the elderly,netral,0.0
257,Indonesian seniors belong to the hope for the brilliant initiation program of Ganjar Mahfud MD,postif,0.9
258,Efforts to create an elderly-friendly society Ganjar Mahfud MD designed a program focused on inclusion paying attention to the specific needs of seniors,netral,0.0
259,Ganjar Mahfud MD leads positive change in designing a physical response program for the elderly paying attention to social psychological aspects,postif,0.06515151515151515
260,The elderly welfare program initiated by Ganjar Mahfud MD is a sign of caring for Indonesian seniors,netral,0.0
261,Indonesian seniors are paying serious attention to Ganjar Mahfud MD's idea of ​​a revolutionary program for living the golden generation,negatif,-0.016666666666666663
262,Same ganjar Mahfud MD created a breakthrough in the welfare level of the elderly design program,netral,0.0
263,The spirit of mutual cooperation ganjars Mahfud MD for creating a unique program specifically designed to help the elderly achieve a happy old age,postif,0.42500000000000004
264,Ganjar Mahfud MD designed an innovative program to level the quality of life for the country's elderly,postif,0.5
265,program for happy elderly happy grandchildren elderly people pay special attention to support prosperity,postif,0.6523809523809524
266,Mahfud MD's cawapres debate makes people think that democracy is breaking up preparing the stage for the people's vote candidate pair prices,netral,0.0
267,No wonder people are afraid of the integrity of Indonesia's commitment to being free from corruption,negatif,-0.09999999999999998
268,Happy birthday to the great figure of Indonesia's great woman,postif,0.8000000000000002
269,Indonesia's hands get up movement February vote to fight,netral,0.0
270,DPC PDI Juang face-to-face campaign Manado City Wahwanea Electoral District Saturday Kalimas Sehat Manado,netral,0.0
271,nat code just wait sincerely,postif,0.5
272,amazed proud love of ulama good meaning in leading the nation are ulama capable?,postif,0.55
273,amen spin campaign,netral,0.0
274,Characteristics of Medan people North Sumatra Medan delicious peanut sauce prosperous people Medan anchovy fishermen delicious Indonesian people healthy nutrition,postif,0.8333333333333334
275,Kapuas Hulu is the majority,netral,0.0
276,full of love and determination to vote ganjar Mahfud for leading him as bravely as possible,postif,0.2833333333333333
277,indonesia once mekel feat yenny wahid,netral,0.0
278,sri sultan is a source of inspiration for people,netral,0.0
279,Sri Sultan is happy to come to ganjar,postif,0.8
280,raharjo people on holiday like the response,netral,0.0
281,The charm of the city of Jogja Sri Sultan is beautiful,postif,0.85
282,Pranowo ganjared the spirit of lighting up the country,netral,0.0
283,ganjar the relationship between the Sultan of Jogja,netral,0.0
284,People are impressed by simple ganjars showing off their wealth their efforts who listens to the layers of the community belongs to the faithful,postif,0.5
285,ganjar the people the figure who leads the people,netral,0.0
286,The residents of Boyolali really welcome the enthusiastic ganjars of healthy and healthy rain,postif,0.6
287,Uni Jogja Lekang Tawan,netral,0.0
288,not yet but why?,netral,0.0
289,simatupang wb TNI Polri really wrong beat right,negatif,-0.10714285714285715
290,Ganjar Pranowo Mahfud MD the result of creating positive momentum Pinjol's hand join in with local wisdom,postif,0.11363636363636363
291,It's important that people are ganjared,postif,0.4
292,Utami Raharjo ganjars the Indonesian president for quality capabilities in the eyes of the world,netral,0.0
293,May the superior program ganjar Mahfud's poor graduate families and help the people may it bring blessings,postif,0.14999999999999997
294,Bismillah may the plan be successful in the future,postif,0.375
295,ganjar Pranowo for bringing jokes and hope,netral,0.0
296,Ganjar Pranowo Mahfud MD proof of regional leadership national leadership,netral,0.0
297,Inspirational people hopefully the meeting will benefit,postif,0.5
298,Sayyidina Umar's story: Munkar Nakir's interrogation what was his answer loudly answered Was Muhammad Saw Umar's close friend arrogant?,postif,0.1
299,ganjar the city of Jogja is special,postif,0.35714285714285715
300,also the name of an illegitimate child random constitution democracy country mikat ndazzzz moe mikat you bastard lick think you're a bastard,negatif,-0.5
301,ganjar for supporting Sri Sultan,postif,0.25
302,a figure leading the people's hope,netral,0.0
303,It's not real just shut up you teach defense why support?,negatif,-0.1
304,Oh yes send your greetings to second-hand aircraft grant forms of bilateral work for poor countries second-hand goods buy the title of DPA Minister of Defense is there a second-hand aircraft project?,negatif,-0.4
305,Jogjakarta is full of great love stories,postif,0.5499999999999999
306,Ganjar Pranowo is an inspiration for Indonesia's young generation,postif,0.1
307,Ganjar Pranowo thank God for Mahfud's great benefits,postif,0.8
308,ganjar Mahfud the best leader of the nation,postif,1.0
309,Ganjar Pranowo Mahfud MD the great duo brought Indonesia to a developed economic country Yukimi,postif,0.3666666666666667
310,Sultan Gangar is already a close friend,netral,0.0
311,ganjar pranowo huahh the spirit of ganjar is great Mahfud,postif,0.8
312,great ganjar Pranowo Mahfud MD commitment to economic growth and enthusiasm,postif,0.5
313,people have the right to go to school,postif,0.2857142857142857
314,I see all the parties but RI Mega is only represented by Hastosprtnya seriously ma'am I'll pay attention when I see Puan Blusukan's campaign what a campaign I see,negatif,-0.16666666666666666
315,I hope Jogjakarta will ganjar all of Pranowo,netral,0.0
316,Presidential candidate number Ganjar Pranowo is a type of leader who is smart and dances. He likes to think creatively,postif,0.35714285714285715
317,Ganjar Pranowo Mahfud MD wise inspiration has a direct positive impact on people's daily lives,postif,0.2568181818181818
318,Ganjar Pranowo Mahfud MD may be present wisely to support the development of the people's fair and safe digital economy,postif,0.38
319,Wiyana Bahrawi an advocate who at least understands the main duties and functions of the police force which belongs to the authorities upholds the law on roads playing in the realm of violence must act decisively.,negatif,-0.06666666666666667
320,Mahfud MD People's Excellence Program from Lunch,netral,0.0
321,human resource level program realization,netral,0.0
322,Ganjar Pranowo Mahfud MD inspirational contribution to economic growth,postif,0.35
323,Joss Sat Set doesn't wait for the president of the free vocational school to provide children,postif,0.35
324,jayasarmil putriaura ganjar pranowo ganjar choose genz young people support ganjar he leads millennial dreams great mahfud,postif,0.45
325,Dilla blesses Ganjar Pranowo Ganjar uses an official car Ganjar supports the creativity of the young people of the great nation Mahfud,postif,0.45
326,happy with the solidarity of the villagers with strong rain,postif,0.6166666666666667
327,I hope the program is realized,netral,0.0
328,good program for the poor,postif,0.14999999999999997
329,Choosing traditional clothes from Ganjar Pranowo Mahfud MD is a reflection of the spirit of positive change in the world of politics,postif,0.11363636363636363
330,lead a world of complete integrity,postif,0.1
331,Jogjakarta is a city full of cheerful stories,postif,0.375
332,Quick action to punish Pranowo Mahfud MD for Pinjol hopes that the people who are victims of business practices will lose money,postif,0.21666666666666667
333,good programs exist,postif,0.7
334,Ganjar Pranowo innovation creativity youth assets price of the nation Ganjar support young creators the work of the great creative industry pioneer Mahfud,postif,0.4666666666666666
335,Trisiyowong ganjars Pranowo to lead the people. The people are happy to ganjar the great leader Mahfud,postif,0.8
336,photo of president's badge off please president meaning of ri id didu,netral,0.0
337,Warm greetings from Jogja to all of Jogja this is Mahfud's ganjar,postif,0.6
338,chchotimah datuakrajoangek punishes pranowo embung wakes up forcibly the important tip of politics of the great mahfud group,postif,0.5666666666666668
339,Ganjar Pranowo wow that's really cool really great Mahfud,postif,0.4166666666666667
340,Jogja is special Jogja is special,postif,0.35714285714285715
341,bellamy tniau tni polri crazy arrogance prone to civil riots many people salary tax duty tni bimbing,negatif,-0.04999999999999999
342,The TNI has a bad temper the TNI is really fierce the TNI's cooking racket case class the KKB terrorists are hiding,negatif,-0.24999999999999992
343,WB reagent TNI Polri really iso burns headquarters really disgusted og presidential election apparatus mong benefitke gawe chaos wae asu really,negatif,-0.20000000000000004
344,On the basis of the achievements of the members of the Republic of Indonesia's House of Representatives they chose the governor of Central Java when he was in the political realm of order to choose love for the people,postif,0.16666666666666666
345,Jogja is special apart from the role of Sri Sultan thank you for your contribution to making Jogja a special city for people's hearts,postif,0.35714285714285715
346,songkem andisinulingga ganjar pranowo please enjoy watching the community play like this great mahfud,postif,0.6000000000000001
347,Rizmaya the village head's son try not the village head's son,netral,0.0
348,Steady ganjar Pranowo Mahfud MD Duet promises economic growth for young people with enthusiasm,postif,0.15555555555555556
349,ganjar Pranowo the little kids are really a shame Mahfud's great GP,postif,0.2708333333333333
350,Ganjar Pranowo leads young country's vision,postif,0.1
351,Ganjar Pranowo Mahfud MD tandem formula for smart solutions to the negative impact of active digital economy,negatif,-0.05476190476190476
352,support the ganjar road program,netral,0.0
353,meet hopefully the wejang will add to the spirit of ganjar,netral,0.0
354,Very polite during the presidential election Central Java did not ask for a Belagu ID card,postif,0.1
355,ganjar pranowo opened a dead voice prone to suspicion of this soldier's gang,negatif,-0.2
356,Ganjar Pranowo Mahfud MD Duo teaches transparency in digital economy key to results,netral,0.0
357,Ganjar Pranowo Mahfud MD Great Duo pursues ambitious economic growth targets,postif,0.4166666666666667
358,cool presidential candidates meeting with Sri Sultan Hamengkubuwono hopefully this will be useful,postif,0.32499999999999996
359,Mashaallah may the intention bear good fruit,postif,0.7
360,This is a solid candidate choice,netral,0.0
361,oh ask is the internet free is there wifi the internet has limits no access poor dorm number free to watch films bo keep mat for adults create generation,postif,0.13333333333333333
362,Ganjar Pranowo Mahfud MD installs hope for a positive transformation step by Mahfud Hand Pinjol,postif,0.22727272727272727
363,I hope the ganjar program exists to support ganjars,netral,0.0
364,Sri Sultan Jogja's dedication is truly proud hopefully the spirit of inspiration,postif,0.8
365,said Pinjol Ganjar Pranowo Mahfud MD Arif Local a strong foundation for creating positive change at the national level,postif,0.22020202020202018
366,ganjar elected leadership candidates,netral,0.0
